signal_squared,p,repetition,risk
5,100,6,1.2774887789776828
5,100,7,0.89802134759835872
5,100,8,0.77534385882123857
5,100,9,1.0405604653513183
5,100,10,1.171211909636283
5,100,11,1.0525770626089506
5,100,12,1.1241839333531189
5,100,13,1.4477956352649552
5,100,14,1.093124488401646
5,100,15,1.0026059989499561
5,100,16,1.3102454828287418
5,100,17,1.1447354595857444
5,100,18,0.97064830991650297
5,100,19,1.0709371200719329
5,100,20,1.154243407687696
5,120,1,1.6817921047181101
5,120,2,0.85433928089594191
5,120,3,1.7727837915098015
5,120,4,2.4144187156989028
5,120,5,1.3579916967713284
5,120,6,1.530822224195602
5,120,7,1.1715224031001832
5,120,8,1.2544221572700884
5,120,9,1.4049332379693305
5,120,10,1.2722258698730604
5,120,11,1.3778157858259727
5,120,12,1.711634044340282
5,120,13,1.4809348610415674
5,120,14,1.2914420193007792
5,120,15,1.4206372983745628
5,120,16,1.8792412612296174
5,120,17,1.9986903188350711
5,120,18,1.8631437956583987
5,120,19,1.717818352277154
5,120,20,1.3968331028542162
5,140,1,2.0567393454801217
5,140,2,1.5928759238503607
5,140,3,2.5144692778026081
5,140,4,1.2485310173777295
5,140,5,2.4032795973801133
5,140,6,2.3707547869847785
5,140,7,2.7044890603780005
5,140,8,1.5908332354192731
5,140,9,2.486132404047801
5,140,10,2.4548179814127988
5,140,11,2.7350861794845138
5,140,12,2.5623815586448364
5,140,13,2.2636540252711765
5,140,14,2.2875881857540579
5,140,15,2.4156245194672801
5,140,16,2.8079998413313798
5,140,17,2.3118094304763619
5,140,18,1.8549335558474507
5,140,19,1.9011341097353043
5,140,20,2.1899487536886286
5,160,1,2.9981009268365115
5,160,2,4.4338104624430947
5,160,3,6.7450671642434017
5,160,4,4.0756596313458386
5,160,5,3.9296891458415528
5,160,6,5.5763909835285812
5,160,7,5.38574279687783
5,160,8,2.9246097138265039
5,160,9,6.1196944651360479
5,160,10,4.0231789443158092
5,160,11,3.3722581314194922
5,160,12,4.4078117712281237
5,160,13,3.860608758039028
5,160,14,3.0573870860464929
5,160,15,4.0800042103056411
5,160,16,2.6045935321775606
5,160,17,3.5254918136142819
5,160,18,3.5562521340103652
5,160,19,4.6351653578462741
5,160,20,2.7265518637813697
5,180,1,6.138407328278368
5,180,2,14.378208643794455
5,180,3,7.7145817062426412
5,180,4,6.6935877936325126
5,180,5,8.8896028554208488
5,180,6,9.032382668171973
5,180,7,12.034798654949507
5,180,8,8.3773714285282299
5,180,9,15.634005881832985
5,180,10,6.3720735328350564
5,180,11,8.4754916392574486
5,180,12,6.890728913903283
5,180,13,13.928303930391696
5,180,14,7.2204360729600268
5,180,15,6.2632866599818957
5,180,16,5.8283756631205978
5,180,17,10.702822228654908
5,180,18,9.6147698715678889
5,180,19,7.2760630594054483
5,180,20,8.4491437194770374
