replication,T,method,lower,upper,covers,length
4,10000,PI,-0.46428821504545215,-0.37975108572924399,1,0.084537129316208159
4,10000,Boot,-0.45508427005560087,-0.37307313878049847,1,0.0820111312751024
4,10000,RS,-0.44626241442882547,-0.39777688634587066,0,0.04848552808295481
5,500,PI,-0.69865510884804571,-0.19929589108749549,1,0.49935921776055026
5,500,Boot,-0.6201578485767324,-0.19457586540252003,1,0.42558198317421236
5,500,RS,-0.57853941825040178,-0.31941158168513939,1,0.25912783656526239
5,1000,PI,-0.65516259081332551,-0.35401781658419174,1,0.30114477422913377
5,1000,Boot,-0.62859142157569381,-0.33454653013327568,1,0.29404489144241813
5,1000,RS,-0.59916646590623091,-0.41001394149128628,1,0.18915252441494462
5,2000,PI,-0.55737999498337421,-0.36164968511154116,1,0.19573030987183304
5,2000,Boot,-0.55763701164314294,-0.36321501214927043,1,0.19442199949387251
5,2000,RS,-0.55135524206045872,-0.3676744380344566,1,0.18368080402600212
5,5000,PI,-0.54218882366406029,-0.42266227995575917,1,0.11952654370830113
5,5000,Boot,-0.53733259361204022,-0.41640173663803104,1,0.12093085697400918
5,5000,RS,-0.53390726136714162,-0.43094384225267773,1,0.10296341911446388
5,10000,PI,-0.53865819113375135,-0.45513290097116149,0,0.08352529016258986
5,10000,Boot,-0.5362484677404814,-0.45605688886273726,0,0.080191578877744141
5,10000,RS,-0.54376583957855751,-0.45002525252635528,0,0.093740587052202229
6,500,PI,-0.81780644338257868,-0.34498858586312148,1,0.47281785751945721
6,500,Boot,-0.78247339369248181,-0.38101754309118863,1,0.40145585060129318
6,500,RS,-0.73952756419348264,-0.42326746505221746,1,0.31626009914126518
6,1000,PI,-0.67988269457718309,-0.38808544224706798,1,0.29179725233011511
6,1000,Boot,-0.69210229693153003,-0.38577728791613708,1,0.30632500901539295
6,1000,RS,-0.67999822748101013,-0.38796990934324094,1,0.29202831813776919
6,2000,PI,-0.5710251247829965,-0.37396334607118414,1,0.19706177871181235
6,2000,Boot,-0.57413760243036682,-0.37504404733451197,1,0.19909355509585486
6,2000,RS,-0.59550633338438874,-0.34948213746979195,1,0.24602419591459679
6,5000,PI,-0.55140043265860295,-0.43010077193730278,1,0.12129966072130016
6,5000,Boot,-0.54323347169404701,-0.42658127801031565,1,0.11665219368373136
6,5000,RS,-0.52817587291135148,-0.45332533168455424,0,0.07485054122679724
6,10000,PI,-0.51370708564735856,-0.43001117747081602,1,0.083695908176542544
6,10000,Boot,-0.50777099283723681,-0.42333696321860864,1,0.08443402961862817
6,10000,RS,-0.51606704701304895,-0.42765121610512569,1,0.088415830907923265
7,500,PI,-0.56805272582241295,-0.13578303562206681,1,0.43226969020034611
7,500,Boot,-0.5450460312731118,-0.13322627998649503,1,0.41181975128661674
7,500,RS,-0.41586905906785743,-0.28796670237662236,0,0.12790235669123506
7,1000,PI,-0.53789946482980011,-0.25556234978192272,1,0.2823371150478774
7,1000,Boot,-0.54867749705976343,-0.25127749668353327,1,0.29740000037623016
7,1000,RS,-0.46284608638555641,-0.33061572822616642,1,0.13223035815938999
7,2000,PI,-0.50649959910975051,-0.31808527010529419,1,0.18841432900445632
7,2000,Boot,-0.50998093751590168,-0.32080425854605987,1,0.1891766789698418
7,2000,RS,-0.50805586889843335,-0.31652900031661135,1,0.191526868581822
7,5000,PI,-0.50722241366984921,-0.38924535535160559,1,0.11797705831824362
7,5000,Boot,-0.50194288543048426,-0.39273500612796469,1,0.10920787930251957
7,5000,RS,-0.52017051163711414,-0.37629725738434061,1,0.14387325425277353
7,10000,PI,-0.48914993792030775,-0.40529867723991814,1,0.083851260680389617
7,10000,Boot,-0.48102720463519771,-0.39982456176018111,1,0.081202642875016606
