signal_squared,p,median_risk,mean_risk
5,20,0.092046219414109037,0.095850854767175711
5,40,0.21991320938434322,0.21903059154226803
5,60,0.41085252362755031,0.42602513630057592
5,80,0.64261023962444841,0.66141320835176576
5,100,1.0938885071673821,1.0862646379677796
5,120,1.4507860797080649,1.5426721160869985
5,140,2.34128210873057,2.2376541394917284
5,160,3.976434045078681,4.1019034446431899
5,180,8.4132575740026336,8.9957221126203404
5,199,120.03073595766449,872.6907864695977
5,200,433.82633867723234,93888.507157783562
5,220,11.840092856195511,11.454882065221904
5,240,6.6234229386502204,6.6145921303962592
5,260,4.38338704807461,4.2962945761293581
5,300,3.5661160254447988,3.5533785150835486
5,400,3.4972303333696697,3.4698320867442325
5,600,3.8955051060298462,3.8567559231084791
2,20,0.084393094587437406,0.10364862612997879
2,40,0.24687406936962097,0.24889710434669543
2,60,0.42068392062963844,0.42916415158408511
2,80,0.66396152583119283,0.66982297668600088
2,100,1.0073643866674171,1.0352189926893218
2,120,1.6733593610202568,1.667140436617536
2,140,2.1445515001644222,2.2346129514305124
2,160,4.7541375896157323,4.5919109827750466
2,180,9.9792684807112479,10.357630940214305
2,199,177.46271028188437,393.82037424871089
2,200,170.97516662680769,1149.6043883890957
2,220,10.75432814425235,10.83874727045526
2,240,5.057103682528834,5.2530177253808237
2,260,3.8983565095542181,3.7949102987979715
2,300,2.6315219466517981,2.6221113380895584
2,400,1.9749013635378283,1.9632738789174742
2,600,1.7960506131716574,1.8087952363469171
1,20,0.10241967297602136,0.10613079721813326
1,40,0.256236253322498,0.25133570664356158
1,60,0.43398151696241399,0.42996904413709347
1,80,0.73538668122693329,0.7253716619419841
1,100,0.93479781866750766,0.97046921406055398
1,120,1.5228997482841984,1.5009886179126597
1,140,2.1841138494215451,2.2118745909023394
1,160,3.6042328068650971,3.930302074461725
1,180,8.8522064430919052,9.8127183038640542
1,199,81.243305441398462,359.92079938420864
1,200,448.12351173668617,5586.0625395587522
1,220,9.6474148989164981,10.896630562211323
1,240,5.238798288193105,5.3188684352558173
1,260,3.5410280985462381,3.6048296013395622
1,300,2.3796724621078233,2.4335509898048646
1,400,1.5337438174489684,1.5561405177693164
1,600,1.1495774232099643,1.1563369419111709
